,,,,,,,,,,,,,,,,,,,,,,,
MANTENIMIENTO DE SUBESTACIONES ELECTRICAS,,,,,,,,,,,,,,,,,,,,,,,
,,22 al 28 de Junio ,29 al 5 de de Julio ,6 al 12 de Julio ,13 al 19 de Julio ,20 al 26 de Julio ,27  al 02 de Agosto,03 al 09 de Agosto,10 al 16 de Agosto ,17 al 23 de Agosto ,24 al 30 de Agosto,31 al 6 de Sep,7 al 13 de Sep,14 al 20 de Sep,21 al 27 de Sep,28 al 4 de Oct,5 al 11 de Oct,12 al 18 de Oct,19 al 25 de Oct.,26 al 1 de Nov.,2 al 8 de Nov.,9 al 15 de Nov.,16 al 22 de Nov
"SEMIPRESENCIAL
CANALIZACIONES TUBERIA CONDUIT 
MIN S/ 350.00",FECHA 1,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Oferta S/. 450,Oferta S/. 450,Regular S/. 550,"INICIO DE CURSO
FULL DAY S/450",,,,,,,,,,,,,,,
,FECHA 2,,,,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Oferta S/. 450,Oferta S/. 450,Regular S/. 550,"""INICIO DE CURSO
FULL DAY S/450",,,,,,,,,,
,FECHA 3,,,,,,,,,,,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Preventa S/. 350,Oferta S/. 450,Oferta S/. 450,Regular S/. 550,"""INICIO DE CURSO
FULL DAY S/450"
"SEMIPRESENCIAL
CANALIZACIONES TUBERIA CONDUIT 
MIN S/ 99.00",FECHA 1,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Oferta S/. 150,Oferta S/. 150,Regular S/. 200,"""INICIO DE CURSO
FULL DAY S/150",,,,,,,,,,,,,,,
,FECHA 2,,,,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Oferta S/. 150,Oferta S/. 150,Regular S/. 200,"""INICIO DE CURSO
FULL DAY S/150",,,,,,,,,,
,FECHA 3,,,,,,,,,,,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Oferta S/. 150,Oferta S/. 150,Regular S/. 200,"""INICIO DE CURSO
FULL DAY S/150"
,,,,,,,,,,,,,,,,,,,,,,,
VARIADORES DE VELOCIDAD ,,,,,,,,,,,,,,,,,,,,,,,
,,22 al 28 de Junio ,29 al 5 de de Julio ,6 al 12 de Julio ,13 al 19 de Julio ,20 al 26 de Julio ,27  al 02 de Agosto,03 al 09 de Agosto,10 al 16 de Agosto ,17 al 23 de Agosto ,24 al 30 de Agosto,31 al 6 de Sep,7 al 13 de Sep,14 al 20 de Sep,21 al 27 de Sep,28 al 4 de Oct,5 al 11 de Oct,12 al 18 de Oct,19 al 25 de Oct.,26 al 1 de Nov.,2 al 8 de Nov.,9 al 15 de Nov.,16 al 22 de Nov
